Timestamp;ISPPE;Sequence;Code;Severity;State;Subsystem
2023-06-08T13:03:22.653+0200;1223085273;1;FW|110|;E;UN
2023-06-08T13:03:28.498+0200;1223091118;1;FW|110|;E;ACK
2023-06-08T13:03:28.499+0200;1223091119;1;FW|110|;E;RTNUN
2023-06-08T13:03:28.500+0200;1223091120;1;FW|110|;E;NORM
2023-06-08T13:04:44.546+0200;1223167018;1;FW|110|;E;UN
2023-06-08T13:04:56.750+0200;1223179222;1;FW|110|;E;RTNUN
2023-06-08T13:04:56.750+0200;1223179222;2;FW|110|;E;NORM
2023-06-08T13:05:33.230+0200;1223215702;1;FW|110|;E;UN
2023-06-08T13:05:33.500+0200;1223215972;1;FW|110|;E;RTNUN
2023-06-08T13:05:33.500+0200;1223215972;2;FW|110|;E;NORM
2023-06-08T13:13:32.562+0200;1223693667;1;FW|110|;E;UN
2023-06-08T13:13:32.861+0200;1223693966;1;FW|110|;E;RTNUN
2023-06-08T13:13:32.861+0200;1223693966;2;FW|110|;E;NORM
2023-06-08T14:33:57.021+0200;1228506046;1;FW|115|;I;UN;Media Input
2023-06-08T14:35:02.177+0200;1228571031;1;FW|5|;E;UN;Carriage
2023-06-08T14:35:06.998+0200;1228575852;1;FW|5|;E;RTNUN;Carriage
2023-06-08T14:35:06.998+0200;1228575852;2;FW|5|;E;NORM;Carriage
2023-06-21T10:21:28.379+0200;898472;1;FW|2|0.1;F;UPR;E-Module
2023-06-21T10:21:28.380+0200;898473;1;FW|2|1.0;F;NORM;E-Module
2023-06-08T14:35:59.566+0200;1228628130;1;FW|110|;E;UN;Media Output Roll
2023-06-08T14:35:59.634+0200;1228628198;1;FW|115|;I;RTNUN;Media Input Roll
2023-06-08T14:35:59.634+0200;1228628198;2;FW|115|;I;NORM;Media Input Roll
2023-06-08T14:35:59.638+0200;1228628202;1;FW|110|;E;RTNUN;Media Output Roll
2023-06-08T14:35:59.638+0200;1228628202;2;FW|110|;E;NORM;Media Output Roll
